execution_order,task_id,condition,report_id,evaluation_id,score_1,score_2,score_3,score_4,score_5,score_6,score_7
1,1,t,1,1,5,5,4,5,4,4,5
1,1,t,1,2,5,5,5,4,5,5,4
1,1,t,1,3,5,4,4,4,4,4,3
2,1,c,1,1,4,4,3,4,3,3,3
2,1,c,1,2,3,4,4,3,4,4,4
2,1,c,1,3,4,4,4,4,4,4,4
3,1,as,1,1,4,4,4,3,4,4,4
3,1,as,1,2,3,4,3,4,4,4,4
3,1,as,1,3,4,4,3,4,4,4,4
4,1,ah,1,1,4,4,3,4,4,4,4
4,1,ah,1,2,4,4,3,4,4,3,4
4,1,ah,1,3,3,4,3,3,4,3,3
5,1,c,2,1,3,4,3,4,4,3,4
5,1,c,2,2,4,4,3,4,4,4,4
5,1,c,2,3,3,4,3,4,4,4,4
6,1,ah,2,1,4,4,3,4,4,4,4
6,1,ah,2,2,4,4,3,4,4,3,4
6,1,ah,2,3,3,4,3,4,4,4,4
7,1,t,2,1,4,5,4,4,4,5,4
7,1,t,2,2,4,5,4,5,5,4,5
7,1,t,2,3,5,4,4,4,5,4,4
8,1,as,2,1,4,4,4,4,4,3,4
8,1,as,2,2,3,4,3,4,4,3,4
8,1,as,2,3,3,4,3,3,4,3,3
9,1,as,3,1,3,4,4,4,4,4,4
9,1,as,3,2,4,5,4,4,5,4,4
9,1,as,3,3,4,5,4,4,5,4,4
10,1,t,3,1,5,5,4,4,4,5,4
10,1,t,3,2,5,5,5,5,4,5,5
10,1,t,3,3,5,4,4,4,3,4,5
11,1,ah,3,1,4,4,4,4,4,4,3
11,1,ah,3,2,4,4,3,3,4,4,3
11,1,ah,3,3,5,4,5,5,4,4,4
12,1,c,3,1,3,4,3,3,4,3,4
12,1,c,3,2,4,4,3,4,4,3,4
12,1,c,3,3,3,4,4,4,4,3,4
13,1,ah,4,1,4,4,3,4,4,3,4
13,1,ah,4,2,4,4,4,4,4,3,4
13,1,ah,4,3,4,4,4,4,4,4,4
14,1,as,4,1,5,4,4,4,4,4,4
14,1,as,4,2,4,4,4,4,4,4,4
14,1,as,4,3,4,4,4,4,4,4,4
15,1,c,4,1,4,4,3,4,4,4,4
15,1,c,4,2,4,4,3,4,4,4,4
15,1,c,4,3,4,4,3,4,4,4,4
16,1,t,4,1,5,5,4,4,4,4,4
16,1,t,4,2,4,4,4,4,4,4,4
16,1,t,4,3,5,4,5,4,4,4,4
17,1,t,5,1,5,4,4,5,4,5,4
17,1,t,5,2,5,5,5,5,4,4,4
17,1,t,5,3,5,5,4,5,4,5,5
18,1,c,5,1,3,4,3,3,4,3,4
18,1,c,5,2,4,4,3,4,4,3,4
18,1,c,5,3,3,4,3,4,4,3,4
19,1,as,5,1,4,4,4,4,4,3,4
19,1,as,5,2,4,4,3,4,4,3,4
19,1,as,5,3,4,4,4,4,4,4,4
20,1,ah,5,1,4,4,4,3,4,4,4
20,1,ah,5,2,5,5,4,5,4,4,4
20,1,ah,5,3,4,4,4,4,4,3,4
21,1,c,6,1,3,4,3,4,4,3,3
21,1,c,6,2,3,4,3,4,4,3,3
21,1,c,6,3,3,4,3,4,4,3,3
22,1,ah,6,1,5,4,4,4,4,4,4
22,1,ah,6,2,4,4,4,4,4,4,4
22,1,ah,6,3,4,4,4,3,3,4,3
23,1,t,6,1,4,4,4,3,4,4,4
23,1,t,6,2,5,4,5,4,4,5,4
23,1,t,6,3,5,4,4,4,4,4,4
24,1,as,6,1,4,4,4,4,4,4,4
24,1,as,6,2,3,4,4,4,4,3,3
24,1,as,6,3,4,4,4,4,4,3,4
25,1,as,7,1,4,4,3,4,4,4,4
25,1,as,7,2,4,4,4,4,4,4,4
25,1,as,7,3,4,4,3,4,4,4,4
26,1,t,7,1,3,4,3,4,4,3,4
26,1,t,7,2,5,5,4,5,5,4,5
26,1,t,7,3,5,5,4,5,5,4,4
27,1,ah,7,1,4,4,3,3,4,3,3
27,1,ah,7,2,4,4,3,4,4,3,4
27,1,ah,7,3,3,4,3,4,4,3,4
28,1,c,7,1,3,4,3,3,4,3,3
28,1,c,7,2,4,4,4,4,4,4,4
28,1,c,7,3,3,3,4,3,4,3,3
29,1,ah,8,1,3,4,4,4,4,3,3
29,1,ah,8,2,4,4,3,3,4,3,3
29,1,ah,8,3,3,4,3,4,4,4,4
30,1,as,8,1,4,4,3,4,4,3,4
30,1,as,8,2,5,4,4,4,5,4,4
30,1,as,8,3,4,5,3,4,4,3,4
31,1,c,8,1,3,4,3,4,4,3,4
31,1,c,8,2,3,3,3,3,3,3,3
31,1,c,8,3,2,3,2,3,4,3,3
32,1,t,8,1,4,5,5,5,5,5,5
32,1,t,8,2,5,5,5,5,5,5,5
32,1,t,8,3,5,4,4,4,4,4,4
33,1,t,9,1,4,4,4,4,4,4,4
33,1,t,9,2,4,4,4,4,5,4,4
33,1,t,9,3,5,5,5,5,5,5,5
34,1,c,9,1,3,4,3,4,4,3,4
34,1,c,9,2,3,4,3,4,4,3,3
34,1,c,9,3,2,3,2,3,4,3,3
35,1,as,9,1,4,5,4,4,5,3,4
35,1,as,9,2,4,4,3,4,5,4,4
35,1,as,9,3,4,5,4,3,5,4,4
36,1,ah,9,1,3,3,3,3,3,3,3
36,1,ah,9,2,4,4,3,4,4,4,3
36,1,ah,9,3,4,4,4,4,4,4,4
